Gene	PRAS	log2PRAS	rank
ANKRD36C	13.6458963877435	3.8724245895438	52
USP34	13.318572954339	3.83981580995541	53
CDK11B	13.0396802466984	3.81143817356719	54
ZFP36L2	13.0072824958499	3.80810518555684	55
HDLBP	12.6322210986534	3.76894873457667	56
ANKRD36	12.4572805813431	3.75031499754072	57
UGT2B10	12.308357683211	3.73426064145824	58
TIA1	12.3063158974183	3.73403928430092	59
SPTBN1	12.1878986586576	3.72114280077734	60
UBXN4	12.0055033474896	3.70105033137506	61
ITGB1BP1	11.9621010815131	3.69622768457553	62
MOV10	11.8360689320174	3.68213153717446	63
AGT	11.7123860566113	3.66816293789454	64
RBM6	11.6899698348442	3.66561673465957	65
RN7SKP79	11.4786457863245	3.64138947272845	66
PTCD3	11.4653597119952	3.63985261006526	67
RPL37	11.3263613238295	3.62367508158654	68
PCNP	11.2541019677852	3.61519285619577	69
RHBG	10.8931967164958	3.57206463731966	70
HNRNPU	10.6547524841851	3.54284646069001	71
TFPI	10.5994785801027	3.53598804965337	72
HNRNPA3	10.4761295137458	3.52056424971903	73
SNORD70B	10.3095243986168	3.49946635558697	74
SNORA62	10.2579	3.49286583330567	75
MST1	10.2519162219986	3.4920988108683	76
SEMA3B	10.2240234784772	3.48851802679879	77
CP	10.2103091637847	3.48675416097972	78
NCBP2	9.94648608176419	3.45239592124305	79
UBR4	9.86397402029877	3.4414800295798	80
NUDC	9.68527683029539	3.41755238019166	81
MAT2A	9.63944876841827	3.41135150139656	82
RNU5D-1	9.59748263028868	3.40564969664561	83
CBWD2	9.53152874456508	3.39664296640012	84
NASP	9.16532349148042	3.34558422174031	85
HTT	9.1129112528268	3.33812646754012	86
PRDX1	8.98271492088205	3.31943222740958	87
TGFBR2	8.83062092760242	3.29728254381726	88
RRM2	8.8264017059966	3.2966632180634	89
AC007319.1	8.54441077225224	3.25465613506358	90
VIL1	8.43721959050315	3.2383618729515	91
SF3B1	8.31225596100304	3.21913071337879	92
GSTM4	8.24975980727989	3.20941590299702	93
ZNF638	8.11279122006471	3.18789301479264	94
CHPF	8.07921198614331	3.18256708683141	95
SNHG8	8.07530402358948	3.18194597434563	96
RPS27	8.04758173275411	3.17753223546948	97
PFKFB4	8.00889333221058	3.17134989380893	98
ZNF721	7.89105873934855	3.15235522412379	99
ACAP3	7.88468271542614	3.15132025649543	100
AUP1	7.86712460394475	3.14846634892801	101
ARHGEF10L	7.84958727312005	3.1456101723812	102
HNRNPD	7.82089848893539	3.14092561491113	103
HSPD1	7.819988746565	3.14077681504751	104
C2orf72	7.7576579855593	3.13054510905384	105
ANKRD17	7.31496846352884	3.05571079176308	106
SNORA16A	7.30210424348707	3.05347704692799	107
STARD7	7.28022356902496	3.04966972153731	108
BHLHE40	7.21168772801852	3.03767876604795	109
PROX1	7.19480637073369	3.03470986130978	110
SLMAP	7.14919446813421	3.02665745882057	111
ACSL3	7.13154337489855	3.0235292032218	112
TRIO	7.13049159022274	3.0233425839529	113
MERTK	7.02279418134904	3.00410478649425	114
SELENOP	6.89274363438696	2.98052688955117	115
RPS7	6.88707929659164	2.97949114758702	116
H1FX-AS1	6.80249764483129	2.96393601666986	117
CPE	6.66706133353118	2.93867372089324	118
PSME4	6.62659933459268	2.93103990938417	119
SDC1	6.60589141071549	2.92711734176359	120
YBX1	6.49909590919313	2.90671667481582	121
SNORD99	6.45713949530742	2.89862232922777	122
RAB17	6.44710745343091	2.89668017417616	123
PABPC4	6.41352798082093	2.89016026171663	124
SLC16A1	6.37172429062892	2.88200211383614	125
ATAD3B	6.3642614136868	2.88054083982412	126
RHOB	6.30207509582761	2.86830650577923	127
SNORD55	6.29080423093734	2.86607796352203	128
AL645608.5	6.26195595414984	2.86035817980456	129
ADAR	6.26167030016923	2.86030142929693	130
SNHG12	6.23246698041275	2.85448783159372	131
YWHAQ	6.04568542216656	2.81674006239863	132
IMPDH2	6.04187090499694	2.81595877925616	133
TBCA	5.95814054970497	2.79870182071038	134
IRF2BP2	5.9478486312846	2.79656632323744	135
CLSTN1	5.93585234442222	2.79407318572277	136
CSDE1	5.85554787875965	2.77727196730055	137
SH3BP4	5.85054112862808	2.77621795197887	138
SLC2A1	5.84431409532215	2.77490596867679	139
JAGN1	5.77869380474391	2.76100730537276	140
SMARCC1	5.74880425744679	2.75463191036092	141
DBI	5.71847620929067	2.74813405821504	142
STARD7-AS1	5.7035713646103	2.74492990412065	143
HP1BP3	5.67032024429423	2.73775602734153	144
FNDC3B	5.64699421012344	2.73270209723398	145
RNU5A-8P	5.58755041747729	2.71974209838418	146
ITIH3	5.49967949611829	2.70036857956249	147
GREB1	5.44245337551204	2.68761019123725	148
FAM13A	5.43846151837524	2.68671599502106	149
AIMP1	5.41284735459588	2.68096506702469	150
ERRFI1	5.39723580466237	2.67744866255799	151
SNORD89	5.38343544396497	2.67433306412171	152
VPS54	5.35257209787369	2.66734084409281	153
HK2	5.28300461688263	2.65145464020677	154
HS6ST1	5.22718117873178	2.63857925478213	155
CLK2	5.12075827696772	2.61371039387459	156
AL031847.2	5.11788567917834	2.6130331484745	157
SHC1	5.01824925078953	2.58934385832154	158
RNVU1-31	4.94676295328627	2.57210456891501	159
ABCB6	4.92277084639383	2.56627226895131	160
